source	target	freq
المصير	al-maṣīr	5
المصنفين	al-Muṣannifīn	5
الأسود	al-Aswad	5
الجلسات	al-jalsāt	5
مجيب	Mujīb	5
قبرصي	Qubruṣī	5
تعليقة	Taʻlīqah	5
المصحف	al-Muṣḥaf	5
المسرة	al-Masarrah	5
تليف	taʹlīf	5
مجالس	Majālis	5
المراد	al-murād	5
مختصرة	mukhtaṣarah	5
توتل	Tawtal	5
اناتول	Anatole	5
للثقافة	lil-Thaqāfah	5
مختومة	makhtūmah	5
Vol	Vol	5
والإجتماع	wa-al-ijtimāʻ	5
لدى	ladá	5
المديرية	al-Mudīrīyah	5
وعني	wa-ʻuniya	5
للفارابي	lil-Fārābī	5
فون	von	5
الجهاد	al-Jihād	5
المرصفي	al-Marṣafī	5
للجامعات	lil-Jāmiʻāt	5
بالعربية	bi-al-ʻArabīyah	5
المستدرك	al-mustadrak	5
الايوبي	al-Ayyūbī	5
بالفاضل	bi-al-Fāḍil	5
المسالك	al-masālik	5
تنزيل	Tanzīl	5
لحسن	li-Ḥasan	5
ان	anna	5
تنظيم	tanẓīm	5
المركزي	al-Markazī	5
الجزيري	Jazīrī	5
قرآن	Qurʼān	5
الثناء	al-Thanāʼ	5
وبل	wa-ball	5
التركي	al-Turkī	5
أصوله	uṣūlihi	5
الجامعية	al-jāmiʻīyah	5
ماجة	Mājah	5
والاشراف	wa-al-ishrāf	5
المكافأة	al-Mukāfaʼah	5
والاعتبار	wa-al-iʻtibār	5
البراهين	al-Barāhīn	5
مارغني	Mārghanī	5
للجميع	lil-jamīʻ	5
قنواتي	Qanawātī	5
والثانية	wa-al-thānīyah	5
قواطع	qawāṭiʻ	5
بينهم	baynahum	5
وبحوث	wa-buḥūth	5
الثوري	al-thawrī	5
تʼليف	taʼlīf	5
تأسست	taʼassasat	5
امامي	Imāmī	5
مؤلفه	muʼallifuhu	5
والثانوية	wa-al-thānawīyah	5
امية	Umayyah	5
البرامكة	al-Barāmikah	5
البراعة	al-barāʻah	5
مجازات	majāzāt	5
المعربة	al-muʻarrabah	5
وفهارسها	wa-fahārisahā	5
وفهارسه	wa-fahārisahu	5
المعصومي	al-Maʻṣūmī	5
المعصوم	al-maʻṣūm	5
المعز	al-Muʻizz	5
والادباء	wa-al-udabāʼ	5
البحتريين	al-Buḥturīyīn	5
أفغاني	Afghānī	5
المعاهدات	al-Muʻāhadāt	5
تشارلز	Charles	5
قرار	qarār	5
المعاصرة	al-muʻāṣirah	5
متولي	Mutawallī	5
والصبيان	wa-al-ṣibyān	5
قشيري	Qushayrī	5
ومنتخبات	wa-muntakhabāt	5
الجراح	al-Jarrāḥ	5
أغا	Āghā	5
وقائع	waqāʼiʻ	5
ماكس	Max	5
المقامات	al-Maqāmāt	5
الجبرتي	al-Jabartī	5
الجبل	al-Jabal	5
تبيان	Tibyān	5
تتعلق	tataʻallaq	5
المفضال	al-mifḍāl	5
المفتاح	al-Miftāḥ	5
الجدية	al-jiddīyah	5
المفاخر	al-mafākhir	5
قطر	Qaṭr	5
قطة	Qiṭṭah	5
وتحصيل	wa-taḥṣīl	5
محرري	muḥarrirī	5
التجاني	al-Tijānī	5
الإنشاء	al-inshāʼ	5
اضواء	Aḍwāʼ	5
سرحان	Sarḥān	5
سودة	Sūdah	5
السداد	al-sadād	5
الإسرائيلي	al-Isrāʼīlī	5
عصري	ʻaṣrī	5
23	23	5
نبوية	nabawīyah	5
الاثرية	al-atharīyah	5
العرابية	al-ʻUrābīyah	5
هزلية	hazalīyah	5
اسامة	Usāmah	5
احمدي	Aḥmadī	5
شعره	shiʻrihi	5
منصوري	Manṣūrī	5
1911	1911	5
الصلاح	al-Ṣalāḥ	5
ودكتوراه	wa-duktūrāh	5
نكت	nukat	5
شرق	Sharq	5
منقذ	Munqidh	5
الصباغ	al-Ṣabbāgh	5
العتاهية	al-ʻAtāhiyah	5
الشافية	al-shāfiyah	5
نقلا	naqlan	5
نعوم	Naʻʻūm	5
والوثائق	wa-al-wathāʼiq	5
الرتبة	al-rutbah	5
منفلوطي	Manfalūṭī	5
الخوارزمي	al-Khuwārizmī	5
شرقية	Sharqīyah	5
موقت	Muwaqqit	5
السعادتين	al-saʻādatayn	5
ضابط	ḍābiṭ	5
رتبها	rattabahā	5
1338	1338	5
يناير	Yanāyir	5
276	276	5
شمعون	Shamʻūn	5
شميل	Shumayyil	5
اسلامي	Islāmī	5
الإدارية	al-idārīyah	5
الشيرازى	al-Shīrāzī	5
السنوات	al-sanawāt	5
منتصف	muntaṣaf	5
درب	Darb	5
شهابي	Shahābī	5
الاحمر	al-aḥmar	5
شهادة	shahādat	5
العز	al-ʻIzz	5
ورتبها	wa-rattabahā	5
الاستقلال	al-istiqlāl	5
الخلف	al-khalaf	5
وزنكوغراف	wa-Zinkūghrāf	5
شؤون	shuʼūn	5
الاحياء	al-aḥyāʼ	5
ريس	Rayyis	5
وخريج	wa-khirrīj	5
شعيب	Shuʻayb	5
الصابري	al-Ṣābirī	5
وآداب	wa-ādāb	5
رباح	Rabāḥ	5
الشبيبة	al-Shabībah	5
وأبي	wa-Abī	5
السبيل	al-sabīl	5
صنعة	ṣanʻat	5
زاد	Zād	5
اصحاب	aṣḥāb	5
ينبوع	yunbūʻ	5
الشبيبي	al-Shabībī	5
عاز	ʻIzz	5
اصلاح	iṣlāḥ	5
ساعدت	Sāʻadat	5
العابد	al-ʻābid	5
الصدى	al-ṣadá	5
طرابلسي	Ṭarābulusī	5
1966	1966	5
مواضع	mawāḍiʻ	5
الطراز	al-ṭirāz	5
ودراسة	wa-dirāsah	5
الداخلي	al-dākhilī	5
الارموي	al-Urmawī	5
طبيب	ṭabīb	5
رفيع	Rafīʻ	5
سويلم	Suwaylim	5
وردة	Wardah	5
العاشورية	al-ʻĀshūrīyah	5
الدكتورة	al-Duktūrah	5
الاخوة	al-Ukhūwah	5
الطفل	al-ṭifl	5
1956	1956	5
الداية	al-Dāyah	5
نفس	Nafs	5
نائل	Nāʼil	5
روبير	Rūbīr	5
الاخيار	al-akhyār	5
الصغرى	al-ṣughrá	5
شايب	Shāyib	5
وأخباره	wa-akhbāruh	5
والمرأة	wa-al-marʼah	5
الداقوقي	al-Dāqūqī	5
الدبور	al-Dabbūr	5
نفسية	Nafsīyat	5
والمنسوخ	wa-al-mansūkh	5
الصريح	al-ṣarīḥ	5
الاخلاق	al-akhlāq	5
موضوع	mawḍūʻ	5
الدمنهوري	al-Damanhūrī	5
الازهري	al-Azharī	5
منهن	minhunna	5
نقشبندي	Naqshabandī	5
اختلف	ikhtalafa	5
طرفة	Ṭarafah	5
سيدة	Sayyidah	5
نامي	Nāmī	5
1885	1885	5
شارلز	Charles	5
العبادات	al-ʻibādāt	5
روي	ruwiya	5
الاساسي	al-asāsī	5
عاطف	ʻĀṭif	5
وحقائق	wa-ḥaqāʼiq	5
شرارة	Sharārah	5
1370	1370	5
ودمشق	wa-Dimashq	5
هل	Hal	5
الشاذلية	al-Shādhilīyah	5
1973	1973	5
ورسائل	wa-rasāʼil	5
السكيت	al-Sikkīt	5
وأدبية	wa-adabīyah	5
الذيل	al-dhayl	5
الذهبية	al-dhahabīyah	5
1357	1357	5
الإيضاح	Īḍāḥ	5
السكري	al-Sukkarī	5
السكرتارية	al-Sikritārīyah	5
السكان	al-sukkān	5
الطبيب	al-Ṭabīb	5
الابتدائية	al-ibtidāʼīyah	5
نشأ	nashaʼa	5
ملك	Malik	5
سقا	Saqqā	5
صائغ	Ṣāʼigh	5
صابري	Ṣābirī	5
الشهية	al-shahīyah	5
ملحس	Malḥas	5
الضبع	al-Ḍabʻ	5
1346	1346	5
ملتقى	Multaqá	5
زمن	zaman	5
الشهرية	al-shahrīyah	5
سلوان	Sulwān	5
الاحد	al-Aḥad	5
اربعين	arbaʻīn	5
وثلاثين	wa-thalāthīn	5
نصوصه	nuṣūṣahu	5
الريحانيات	al-Rīḥānīyāt	5
اعيان	aʻyān	5
الخلخالي	al-Khalkhālī	5
الرسم	al-Rasm	5
ملطي	Malaṭī	5
الاسماعيلية	al-Ismāʻīlīyah	5
الضمان	al-ḍamān	5
سفيان	Sufyān	5
اشعري	Ashʻarī	5
ص	p	5
الديني	al-Dīnī	5
السيدة	al-Sayyidah	5
عبر	ʻabra	5
الادبي	al-Adabī	5
دميري	Damīrī	5
سماوي	Samāwī	5
طنطا	Ṭanṭā	5
دمنهور	Damanhūr	5
1922	1922	5
هدى	hudá	5
ابكاريوس	Abkāriyūs	5
الغافلين	al-ghāfilīn	5
الغدير	al-Ghadīr	5
الخديوي	al-Khidīwī	5
صحراء	ṣaḥrāʼ	5
نداء	Nidāʼ	5
الاشعث	al-Ashʻath	5
ودرجة	wa-darajat	5
زوزني	Zawzanī	5
وإختلاف	wa-ikhtilāf	5
الركابي	al-Rikābī	5
الإستعمار	al-Istiʻmār	5
نحوية	naḥwīyah	5
الرائد	al-Rāʼid	5
ابيات	abyāt	5
واللغوية	wa-al-lughawīyah	5
سلاطين	salāṭīn	5
606	606	5
الروماني	al-Rūmānī	5
ودراسات	wa-dirāsāt	5
ميداني	Maydānī	5
الصيادي	al-Ṣayyādī	5
الاشتهاردي	al-Ishtihārdī	5
نطاق	niṭāq	5
الغائب	al-ghāʼib	5
ٱبو	Abū	5
ندرة	Nadrah	5
نصيب	Nuṣayb	5
افريقية	Ifrīqīyah	5
الدرية	al-durrīyah	5
الرواية	al-riwāyah	5
الروايات	al-riwāyāt	5
سلام	Sallām	5
پارسى	Pārsī	5
شوكت	Shawkat	5
ودروس	wa-durūs	5
وحاضرها	wa-ḥāḍiruhā	5
سيوري	Suyūrī	5
الخفية	al-khafīyah	5
الزهور	al-zuhūr	5
العصفور	al-ʻUṣfūr	5
اسكندري	Iskandarī	5
اعراب	Iʻrāb	5
ارباب	arbāb	5
الذات	al-dhāt	5
زرقاء	Zarqāʼ	5
صفة	ṣifat	5
شوكة	Shawkat	5
الإخوان	al-Ikhwān	5
الزيارة	al-ziyārah	5
نجا	Najā	5
مولوي	Mawlawī	5
الشرباصي	al-Sharabāṣī	5
الزيتونة	al-Zaytūnah	5
رئاسة	Riʼāsat	5
رؤى	Ruʼá	5
الاحمدي	al-Aḥmadī	5
السهروردي	Suhrawardī	5
صقال	Ṣaqqāl	5
الاسرائيلي	al-Isrāʼīlī	5
الخلاصة	al-Khulāṣah	5
نجدة	Najdat	5
وأحكام	wa-aḥkām	5
الزركلي	al-Ziriklī	5
شيت	Shīt	5
يوهان	Johann	5
الشواربي	al-Shawāribī	5
الشرنبلالي	al-Shurunbulālī	5
زعماء	zuʻamāʼ	5
اعلم	Aʻlam	5
العطية	al-ʻAṭīyah	5
السوربون	al-Sūrbūn	5
الخطابة	al-Khaṭābah	5
ديك	Dīk	5
شيخاني	Shīkhānī	5
والمغرب	wa-al-Maghrib	5
الشورى	al-Shūrá	5
نساء	Nisāʼ	5
الخطباء	al-khuṭabāʼ	5
شىرازى	Shīrāzī	5
شيال	Shayyāl	5
الزعبي	al-Zuʻbī	5
ديوي	Dewey	5
ممن	mimman	5
العقود	al-ʻuqūd	5
يقابلها	yuqābiluhā	5
الشوكاني	al-Shawkānī	5
شيباني	Shaybānī	5
المواصلات	al-Muwāṣalāt	4
أسامة	Usāmah	4
نصها	naṣṣahā	4
نصف	Niṣf	4
اكتوبر	Uktūbir	4
الموازنة	al-Muwāzanah	4
الأعراق	al-aʻrāq	4
نصري	Naṣrī	4
الموسوم	al-mawsūm	4
أسباب	asbāb	4
لوعة	Lawʻat	4
المودة	al-Mawaddah	4
اشتمل	ishtamala	4
الموجودات	al-mawjūdāt	4
الموحدي	al-Muwaḥḥidī	4
الرءوف	al-Raʼūf	4
الثابتة	al-thābitah	4
لوقا	Lūqā	4
السيوري	al-Suyūrī	4
المنتظري	al-Muntaẓirī	4
نصرة	Nuṣrat	4
المكية	al-Makkīyah	4
أصيبعة	Uṣaybiʻah	4
أصولها	uṣūlihā	4
اسرائيل	Isrāʼīl	4
المكتوبة	al-maktūbah	4
الشركات	al-sharikāt	4
مائة	miʼat	4
اسطفان	Isṭifān	4
ماء	Māʼ	4
الملائكة	al-Malāʼikah	4
الملل	al-Milal	4
الملاح	Mallāḥ	4
نسخه	nasakhahu	4
أصل	aṣl	4
والاقتصاد	wa-al-iqtiṣād	4
الذاهب	al-dhāhib	4
هوريني	Hūrīnī	4
الشريفة	al-sharīfah	4
الجان	al-jānn	4
ودار	wa-Dār	4
نزل	nazala	4
المفضليات	al-Mufaḍḍalīyāt	4
المفقودة	al-mafqūdah	4
المفوض	al-mufawwaḍ	4
أعظمي	Aʻẓamī	4
هيتي	Hītī	4
مال	Mālik	4
الجبعي	al-Jabʻī	4
والاسلامية	wa-al-Islāmīyah	4
الشعرية	al-shiʻrīyah	4
والاسناد	wa-al-isnād	4
ندى	Nadá	4
مازندراني	Māzandarānī	4
المقرئ	al-muqriʼ	4
استقلال	istiqlāl	4
نزاع	nizāʻ	4
المكارم	al-Makārim	4
والاضداد	wa-al-aḍdād	4
الملوحي	al-Mallūḥī	4
الموارد	al-mawārid	4
المنن	al-minan	4
المنصوري	al-Manṣūrī	4
ليفي	Līfī	4
اسمعيل	Ismaʻīl	4
المنعقدة	al-munʻaqidah	4
الشاطبي	al-Shāṭibī	4
المنقري	al-Minqarī	4
ليس	laysa	4
الشابندر	al-Shābandar	4
أسلوب	uslūb	4
لياقوت	li-Yāqūt	4
الثامنة	al-thāminah	4
أسقف	usquf	4
اسود	Aswad	4
وتاريخها	wa-tārīkhihā	4
نشريات	Nashrīyāt	4
وقدوة	wa-qudwat	4
المليجي	al-Malījī	4
الممالك	al-mamālik	4
الأصلية	al-aṣlīyah	4
الشدة	al-shiddah	4
نشابة	Nashshābah	4
مأساة	Maʼsāt	4
الذريعة	al-Dharīʻah	4
نشاشيبي	Nashāshībī	4
الثمرات	al-thamarāt	4
مآثر	maʼāthir	4
المناوي	al-Munāwī	4
المنتظر	al-muntaẓar	4
المنتظمة	al-muntaẓimah	4
هوامشه	hawāmishahu	4
المنتهي	al-muntahī	4
وقدمه	wa-qaddamahu	4
الشاكي	al-shākī	4
اشتهاردي	Ishtihārdī	4
الغطا	al-Ghiṭā	4
الموضوعات	al-mawḍūʻāt	4
الزيني	al-Zaynī	4
للشهيد	lil-Shahīd	4
التشريعي	al-tashrīʻī	4
للشارح	lil-shāriḥ	4
اليوسفي	al-Yūsufī	4
الکاشانى	al-Kāshānī	4
للرد	lil-radd	4
الزوراء	al-Zawrāʼ	4
الزوائد	al-zawāʼid	4
الزهراوي	al-Zahrāwī	4
امثال	Amthāl	4
السؤال	al-suʼāl	4
للخدمة	lil-Khidmah	4
امراء	umarāʼ	4
وحائز	wa-ḥāʼiz	4
الزقاق	al-Zaqqāq	4
للجمعية	lil-Jamʻīyah	4
التركات	al-tarikāt	4
الزرقاء	al-Zarqāʼ	4
للثورة	lil-thawrah	4
انبابي	Anbābī	4
اليافي	al-Yāfī	4
اليازجى	al-Yāzijī	4
آملى	Āmulī	4
أجود	ajwad	4
السجلماسي	al-Sijilmāsī	4
الوحي	al-waḥy	4
أجوبة	ajwibat	4
الورد	al-Ward	4
الرحالة	al-raḥḥālah	4
السجاد	al-Sajjād	4
هرمة	Harmah	4
ولز	Wells	4
السبزواري	al-Sabzawārī	4
السامي	al-sāmī	4
الوصف	al-Waṣf	4
الوصيف	al-Waṣīf	4
الوضع	al-waḍʻ	4
ولطائف	wa-laṭāʼif	4
الوقائع	al-Waqāʼiʻ	4
الساعدي	al-Sāʻidī	4
الساعاتي	al-Sāʻātī	4
الساري	al-sārī	4
للعرب	lil-ʻArab	4
التصميم	al-taṣmīm	4
الوهم	al-wahm	4
والثورة	wa-al-Thawrah	4
انتصار	Intiṣār	4
الرجل	al-rajul	4
ايوبي	Ayyūbī	4
لكمال	li-Kamāl	4
لكلية	li-kullīyat	4
وجوب	wujūb	4
اغناطيوس	Ighnāṭiyūs	4
الرشيدي	al-Rashīdī	4
الألفية	Alfīyah	4
الرصافي	al-Ruṣāfī	4
والجواب	wa-al-jawāb	4
والجواهر	wa-al-jawāhir	4
التحريف	al-taḥrīf	4
لقمان	Luqmān	4
لقضايا	li-Qaḍāyā	4
ايجي	Ījī	4
افادة	Ifādat	4
الرضوية	al-Riḍawīyah	4
بأبي	bi-Abī	4
الرواة	al-ruwāh	4
بألطف	bi-al-ṭiff	4
والحب	wa-al-ḥubb	4
وجه	wajh	4
الرقم	al-raqm	4
هدايا	Hadāyā	4
الرفاعية	al-Rifāʻīyah	4
التجريبي	al-tajrībī	4
التحليل	al-taḥlīl	4
للإسلام	lil-Islām	4
والجامعة	wa-al-Jāmiʻah	4
آمدي	Āmidī	4
انجلترا	Injiltirā	4
انساب	ansāb	4
والجديد	wa-al-jadīd	4
للبستاني	lil-Bustānī	4
افكار	afkār	4
انعقاد	inʻiqād	4
آصف	Āṣif	4
اغا	Aghā	4
التخصص	al-takhaṣṣuṣ	4
اوروبا	Ūrūbbā	4
آشتياني	Āshtiyānī	4
آشتيانى	Āshtiyānī	4
ايات	Ayāt	4
اياس	Iyās	4
ايام	Ayyām	4
للأب	lil-Ab	4
للآداب	lil-Ādāb	4
الألفي	al-alfī	4
الرشاد	al-rashād	4
أحاديثه	aḥādīthahu	4
السليمية	al-Salīmīyah	4
أرسطو	Arisṭū	4
النجفية	al-Najafīyah	4
الأعمال	al-aʻmāl	4
السمهودي	al-Samhūdī	4
نعيمي	Nuʻaymī	4
هم	hum	4
الراغب	al-Rāghib	4
أرباب	arbāb	4
النسفية	al-Nasafīyah	4
النشأتين	al-nashʼatayn	4
النشار	al-Nashshār	4
النشاشيبي	al-Nashāshībī	4
النصرية	al-Naṣrīyah	4
نفسك	nafsak	4
التمهيد	al-Tamhīd	4
النصولي	al-Nuṣūlī	4
لمذهب	li-madhhab	4
التمر	al-Tamr	4
النضيد	al-naḍīd	4
السمو	al-sumuw	4
السلطاني	al-Sulṭānī	4
الناصر	al-Nāṣir	4
الموقعين	al-muwaqqiʻīn	4
السوي	al-sawī	4
لواحق	Lawāḥiq	4
الميداني	al-Maydānī	4
الميلادي	al-Mīlādī	4
التوكل	al-Tawakkul	4
والبقاع	wa-al-biqāʻ	4
وتأليف	wa-taʼlīf	4
اشقر	Ashqar	4
السنن	al-Sunan	4
الناصرية	al-Nāṣirīyah	4
الناظرين	al-nāẓirīn	4
الأعلمي	al-Aʻlamī	4
والبنوك	wa-al-bunūk	4
الناظم	al-Nāẓim	4
الناقد	al-nāqid	4
النباتات	al-nabātāt	4
أرض	Arḍ	4
النبيه	al-nabīh	4
التهذيب	al-tahdhīb	4
نظير	Naẓīr	4
اصفهان	Iṣfahān	4
التلويح	al-Talwīḥ	4
هريرة	Hurayrah	4
الهموم	al-humūm	4
أخرى	ukhrá	4
النونية	al-nūnīyah	4
للنسخة	lil-nuskhah	4
الهاروني	al-Hārūnī	4
الهبارية	al-Habbārīyah	4
نقل	naqala	4
التفكير	al-tafkīr	4
للمفضل	lil-Mufaḍḍal	4
للمعلمات	lil-Muʻallimāt	4
الهميان	al-himyān	4
النوادر	al-nawādir	4
السعاده	al-Saʻādah	4
الهيتي	al-Hītī	4
أحسن	Aḥsan	4
التغلبي	al-Taghlibī	4
السري	al-Sarī	4
الواعظين	al-Wāʻiẓīn	4
نقى	Naqī	4
السراج	al-Sirāj	4
السخاوي	al-Sakhāwī	4
الوالدين	al-wālidayn	4
النورانية	al-nūrānīyah	4
نقض	naqḍ	4
النعيمي	al-Nuʻaymī	4
السكينة	al-sakīnah	4
التلمساني	al-Tilimsānī	4
لمجلس	li-Majlis	4
لمجد	li-Majd	4
الرعيني	al-Ruʻaynī	4
نفقتها	nafaqatihā	4
التلخيص	al-Talkhīṣ	4
السلامة	al-Salāmah	4
والتحقيقات	wa-al-Taḥqīqāt	4
نفهم	nafham	4
النفيس	al-nafīs	4
اصله	aṣlahu	4
لماذا	Limādhā	4
الربع	al-rubʻ	4
الأفاضل	al-afāḍil	4
نفيسة	nafīsah	4
النكاح	al-nikāḥ	4
لمؤسسة	li-Muʼassasat	4
السكاكي	al-Sakkākī	4
للوزير	lil-wazīr	4
السفاريني	al-Saffārīnī	4
النعمانية	al-Nuʻmānīyah	4
مجير	Mujīr	4
والاسرار	wa-al-asrār	4
واسرار	wa-asrār	4
القصر	al-qaṣr	4
الأدنى	al-Adná	4
الحقانية	al-Ḥaqqānīyah	4
وتصحيحها	wa-taṣḥīḥihā	4
القطبية	al-quṭbīyah	4
القطن	al-Quṭn	4
العذري	al-ʻUdhrī	4
القلائد	al-qalāʼid	4
الجداول	al-Jadāwil	4
إستانبول	Istānbūl	4
مطاعن	maṭāʻin	4
القيامة	al-qiyāmah	4
القيروان	al-Qayrawān	4
القيم	al-Qayyim	4
مصورة	muṣawwarah	4
مصور	muṣawwar	4
العددية	al-ʻadadīyah	4
بإنجلترا	bi-Injiltirā	4
العدالة	al-ʻadālah	4
منسي	Mansī	4
القسطاس	al-Qisṭās	4
وصفاء	wa-Ṣafāʼ	4
القالي	al-Qālī	4
منتخبة	muntakhabah	4
معد	Maʻadd	4
العريض	al-ʻUrayyiḍ	4
معاهدة	Muʻāhadat	4
إعداد	iʻdād	4
إعجاز	Iʻjāz	4
وأفعلت	wa-afʻaltu	4
وصدره	wa-ṣaddarahu	4
القراءة	al-qirāʼah	4
منجم	Manjam	4
مطيعي	Muṭīʻī	4
إشتراعي	ishtirāʻī	4
وتطور	wa-taṭawwur	4
وازاحة	wa-izāḥat	4
مطلب	Maṭlab	4
القرون	al-qurūn	4
وتطهير	wa-taṭhīr	4
إشبيلية	Ishbīlīyah	4
الكتاني	al-Kattānī	4
العجاج	al-ʻAjjāj	4
وطبعها	wa-ṭabʻihā	4
منيل	Munīl	4
مهد	mahhada	4
الكوهكمري	al-Kūhkamarī	4
مشكاة	Mishkāt	4
اخلاقي	akhlāqī	4
إتحاف	Itḥāf	4
وتليها	wa-talīhā	4
وأدب	wa-adab	4
اللائحة	al-lāʼiḥah	4
مشرفة	Musharrafah	4
اللاذقية	al-Lādhiqīyah	4
الحرير	al-ḥarīr	4
مهمد	Muhammad	4
اللبيب	al-labīb	4
اللثام	al-lithām	4
الأبحاث	al-Abḥāth	4
مشارق	Mashāriq	4
الأرز	al-Arz	4
اللكنوي	al-Laknawī	4
اللنبي	Allenby	4
واقع	Wāqiʻ	4
اللنكراني	al-Lankarānī	4
اللوامع	al-lawāmiʻ	4
الظواهري	al-Ẓawāhirī	4
الظلام	al-ẓalām	4
الأرباح	al-arbāḥ	4
الكوراني	al-Kūrānī	4
الحصار	al-ḥiṣār	4
اختارها	ikhtārahā	4
الخواص	al-khawāṣṣ	4
الكروان	al-Karawān	4
وضوء	wa-ḍawʼ	4
العتائقي	al-ʻAtāʼiqī	4
العبقري	al-ʻabqarī	4
العبرية	al-ʻIbrīyah	4
الكشكي	al-Kishkī	4
العبري	al-ʻIbrī	4
واعداد	wa-iʻdād	4
وأسكنه	wa-askanahu	4
العبادي	al-ʻAbbādī	4
مصدر	muṣaddar	4
الكفيل	al-kafīl	4
ورغائب	wa-Raghāʼib	4
الكلمات	al-Kalimāt	4
الأربعين	al-arbaʻīn	4
مشهدي	Mashhadī	4
مشهد	mashhad	4
العامي	al-ʻāmmī	4
وأزكى	wa-azká	4
العزلة	al-ʻuzlah	4
معرض	Maʻraḍ	4
الفاظه	alfāẓahu	4
العملة	al-ʻUmlah	4
ابياري	Ibyārī	4
مقترحات	muqtaraḥāt	4
الفتحي	al-Fatḥī	4
الفتنة	al-Fitnah	4
ملتزمو	Multazimū	4
الخ	ilakh	4
العمدة	al-ʻumdah	4
مقالة	maqālah	4
الحکمه	al-ḥikmah	4
الفراء	al-Farrāʼ	4
العمال	al-ʻUmmāl	4
اتباع	ittibāʻ	4
إيضاح	Īḍāḥ	4
وشرحيه	wa-sharḥayh	4
العلويين	al-ʻAlawīyīn	4
العلوم-جامعة	al-ʻUlūm-Jāmiʻat	4
الفراعنة	al-farāʻinah	4
اتحاف	Itḥāf	4
الفردوسي	al-Firdawsī	4
الأثري	Atharī	4
العملية	al-ʻamalīyah	4
العموم	al-ʻumūm	4
الغفار	al-Ghaffār	4
الخبوشاني	al-Khabūshānī	4
ابشيهي	Ibshīhī	4
الغفور	al-Ghafūr	4
مقومات	Muqawwimāt	4
مكاوي	Makkāwī	4
الغليل	al-ghalīl	4
الأجل	al-ajall	4
الغنائي	al-ghināʼī	4
الغازي	al-Ghāzī	4
الفاء	al-fāʼ	4
مكسيم	Maksim	4
الخالصي	al-Khāliṣī	4
العينين	al-ʻAynayn	4
الفائقة	al-fāʼiqah	4
العينية	al-ʻaynīyah	4
وشخصيات	wa-shakhṣīyāt	4
الفادي	al-Fādī	4
مكودي	Makkūdī	4
الخاقانى	al-Khāqānī	4
مكى	Makkī	4
العميان	al-ʻumyān	4
الأحقاف	al-Aḥqāf	4
الأثير	al-Athīr	4
مفلح	Mufliḥ	4
القاري	al-Qārī	4
الفلالي	al-Filālī	4
الفلسفي	al-falsafī	4
وشمكير	Washmakīr	4
اجرومية	Ajurrūmīyah	4
الأتراك	al-Atrāk	4
منار	Manār	4
واحاديث	wa-aḥādīth	4
الخطيرة	al-khaṭīrah	4
معن	Maʻn	4
الأخلاقيات	al-akhlāqīyāt	4
اجمعين	ajmaʻīn	4
معمر	Muʻammar	4
الأتاسي	al-Atāsī	4
العصبية	al-ʻaṣabīyah	4
مناع	Mannāʻ	4
الفواكه	al-Fawākih	4
الفوطي	al-Fuwaṭī	4
الفياض	al-Fayyāḍ	4
واخبار	wa-akhbār	4
معضاد	Miʻḍād	4
العشاق	al-ʻushshāq	4
مناوي	Munāwī	4
العش	al-ʻIshsh	4
منبه	Munabbih	4
القارئ	al-qāriʼ	4
إمرسن	Emerson	4
الفلاكة	al-Falākah	4
الفروسية	al-furūsīyah	4
الفروع	al-furūʻ	4
العلمانية	al-ʻIlmānīyah	4
مفاهيم	Mafāhīm	4
الفطرة	al-fiṭrah	4
اثري	Atharī	4
إنتقادي	intiqādī	4
مغني	Mughnī	4
الخطابي	al-Khaṭṭābī	4
الفقاهة	al-faqāhah	4
وسر	wa-sirr	4
الحوراني	al-Ḥūrānī	4
ممدوح	Mamdūḥ	4
الخطوط	al-khuṭūṭ	4
العقار	al-ʻuqqār	4
الفلاحة	al-filāḥah	4
العظيمية	al-ʻaẓīmīyah	4
الليالي	al-layālī	4
مواعظ	Mawāʻiẓ	4
والإقتصادية	wa-al-iqtiṣādīyah	4
نبي	Nabī	4
المشرقيين	al-Mashriqīyīn	4
محاضرة	muḥāḍarah	4
المشعل	al-Mishʻal	4
الجماعة	al-jamāʻah	4
المشيخة	al-mashyakhah	4
نتائج	Natāʼij	4
وفضائل	wa-faḍāʼil	4
المصباح	al-Miṣbāḥ	4
والائمة	wa-al-aʼimmah	4
المصححة	al-muṣaḥḥaḥah	4
الشيص	al-Shīṣ	4
المصرى	al-Miṣrī	4
مجهول	majhūl	4
مجموعات	Majmūʻāt	4
المصعب	al-Muṣʻab	4
الشيخين	al-shaykhayn	4
الجلالي	al-Jalālī	4
الدوري	Dūrī	4
الجلاء	al-jalāʼ	4
ودكتور	wa-duktūr	4
نافعة	nāfiʻah	4
وفا	Wafā	4
المسافر	al-musāfir	4
ازموري	Azmūrī	4
المستشار	al-mustashār	4
المستشرقين	al-Mustashriqīn	4
الأسرة	al-usrah	4
الجن	al-Jinn	4
الأسس	al-Usus	4
الجميع	al-jamīʻ	4
المسعودي	al-Masʻūdī	4
الدمياطي	al-Dimyāṭī	4
الصب	al-ṣabb	4
المسلون	al-Muslimūn	4
المسلين	al-Muslimīn	4
و1990	1990	4
المصورة	al-muṣawwarah	4
الشيبي	al-Shaybī	4
الصحراء	al-ṣaḥrāʼ	4
الجريديني	Juraydīnī	4
